Age,Job_Title,Salary
33 Male Bachelor's 4,Junior Business Analyst,60000
35 Female Bachelor's 8,Senior Marketing Analyst,85000
44 Male Bachelor's 13,Senior Software Engineer,130000
32 Male Bachelor's 4,Junior Product Manager,65000
38 Female Bachelor's 10,Senior Business Analyst,110000
49 Male PhD 21,Director of Operations,180000
29 Female Bachelor's 2,Junior Marketing Specialist,40000
35 Male Bachelor's 7,Senior Business Development Manager,90000
45 Female Master's 14,Senior HR Manager,140000
33 Male Bachelor's 4,Junior Financial Analyst,60000
40 Female Bachelor's 12,Senior Marketing Manager,130000
44 Male PhD 16,Senior Data Scientist,160000
30 Female Bachelor's 2,Junior Operations Coordinator,40000
37 Male Bachelor's 9,Senior Marketing Analyst,100000
48 Female Master's 20,Director of HR,180000
31 Male Bachelor's 3,Junior Project Manager,55000
38 Female Bachelor's 9,Senior Operations Coordinator,120000
45 Male PhD 16,Senior Data Engineer,150000
33 Female Bachelor's 5,Junior Marketing Manager,70000
36 Male Bachelor's 8,Senior Business Analyst,95000
49 Female Master's 21,Director of Marketing,180000
31 Male Bachelor's 3,Junior Operations Analyst,50000
42 Female Bachelor's 12,Senior Project Manager,120000
47 Male Master's 19,Director of Marketing,170000
29 Female Bachelor's 1.5,Junior Business Development Associate,35000
35 Male Bachelor's 9,Senior Financial Manager,100000
44 Female PhD 15,Senior Product Designer,150000
33 Male Bachelor's 4,Junior Business Analyst,60000
35 Female Bachelor's 8,Senior Marketing Analyst,85000
44 Male Bachelor's 13,Senior Software Engineer,130000
34 Female Master's 6,Senior Financial Advisor,80000
36 Male Bachelor's 8,Senior Marketing Specialist,95000
30 Female Bachelor's 2,Junior HR Coordinator,40000
37 Male Bachelor's 10,Senior Business Development Manager,120000
45 Female Master's 16,Senior Marketing Manager,160000
32 Male Bachelor's 4,Junior Financial Advisor,65000
39 Female Bachelor's 12,Senior Project Manager,130000
47 Male PhD 20,Director of Engineering,180000
29 Female Bachelor's 2,Junior Marketing Analyst,40000
36 Male Bachelor's 9,Senior Operations Manager,100000
43 Female PhD 15,Senior Data Scientist,150000
32 Male Bachelor's 3,Junior Marketing Coordinator,55000
38 Female Bachelor's 10,Senior Business Analyst,110000
48 Male Master's 21,Director of Marketing,180000
31 Female Bachelor's 3,Junior Business Development Associate,50000
40 Male Bachelor's 12,Senior Financial Analyst,130000
45 Female PhD 16,Senior UX Designer,160000
33 Male Bachelor's 4,Junior Product Manager,60000
36 Female Bachelor's 8,Senior Marketing Manager,95000
47 Male Master's 19,Director of Operations,170000
29 Female Bachelor's 2,Junior Project Manager,40000
34 Male Bachelor's 7,Senior Operations Coordinator,90000
44 Female PhD 15,Senior Business Analyst,150000
33 Male Bachelor's 5,Junior Marketing Specialist,70000
35 Female Bachelor's 8,Senior Financial Manager,90000
43 Male Master's 18,Director of Marketing,170000
31 Female Bachelor's 3,Junior Financial Analyst,50000
41 Male Bachelor's 14,Senior Product Manager,150000
44 Female PhD 16,Senior Data Engineer,160000
33 Male Bachelor's 4,Junior Business Analyst,60000
35 Female Bachelor's 8,Senior Marketing Analyst,85000
45 Male Master's 19,Director of Engineering,180000
28 Female Bachelor's 1,Junior Operations Manager,35000
36 Male Bachelor's 8,Senior Business Development Manager,110000
44 Female PhD 16,Senior Data Scientist,160000
31 Male Bachelor's 3,Junior Marketing Coordinator,55000
38 Female Bachelor's 10,Senior Business Analyst,110000
48 Male Master's 21,Director of Marketing,180000
31 Female Bachelor's 3,Junior Business Development Associate,50000
40 Male Bachelor's 12,Senior Financial Analyst,130000
45 Female PhD 16,Senior UX Designer,160000
33 Male Bachelor's 4,Junior Product Manager,60000
36 Female Bachelor's 8,Senior Marketing Manager,95000
47 Male Master's 19,Director of Operations,170000
29 Female Bachelor's 2,Junior Project Manager,40000
34 Male Bachelor's 7,Senior Operations Coordinator,90000
44 Female PhD 15,Senior Business Analyst,150000
33 Male Bachelor's 5,Junior Marketing Specialist,70000
35 Female Bachelor's 8,Senior Financial Manager,90000
43 Male Master's 18,Director of Marketing,170000
31 Female Bachelor's 3,Junior Financial Analyst,50000
41 Male Bachelor's 14,Senior Product Manager,150000
44 Female PhD 16,Senior Data Engineer,160000
33 Male Bachelor's 4,Junior Business Analyst,60000
35 Female Bachelor's 8,Senior Marketing Analyst,85000
43 Male Master's 19,Director of Operations,170000
29 Female Bachelor's 2,Junior Project Manager,40000
34 Male Bachelor's 7,Senior Operations Coordinator,90000
44 Female PhD 15,Senior Business Analyst,150000
